X,Y,Z,Velocity
-0.001,-0.002,0,0
-0.0005,-0.002,0,0
0,-0.002,0,0
0.0005,-0.002,0,0
0.001,-0.002,0,0
-0.0015,-0.0015,0,0
-0.001,-0.0015,0,0
-0.0005,-0.0015,0,0.3
0,-0.0015,0,0.3
0.0005,-0.0015,0,0.3
0.001,-0.0015,0,0
0.0015,-0.0015,0,0
-0.002,-0.001,0,0
-0.0015,-0.001,0,0
-0.001,-0.001,0,0.3
-0.0005,-0.001,0,0.3
0,-0.001,0,0.3
0.0005,-0.001,0,0.3
0.001,-0.001,0,0.3
0.0015,-0.001,0,0
0.002,-0.001,0,0
-0.002,-0.0005,0,0
-0.0015,-0.0005,0,0.3
-0.001,-0.0005,0,0.3
-0.0005,-0.0005,0,0.3
0,-0.0005,0,0.3
0.0005,-0.0005,0,0.3
0.001,-0.0005,0,0.3
0.0015,-0.0005,0,0.3
0.002,-0.0005,0,0
-0.002,0,0,0
-0.0015,0,0,0.3
-0.001,0,0,0.3
-0.0005,0,0,0.3
0,0,0,0.3
0.0005,0,0,0.3
0.001,0,0,0.3
0.0015,0,0,0.3
0.002,0,0,0
-0.002,0.0005,0,0
-0.0015,0.0005,0,0.3
-0.001,0.0005,0,0.3
-0.0005,0.0005,0,0.3
0,0.0005,0,0.3
0.0005,0.0005,0,0.3
0.001,0.0005,0,0.3
0.0015,0.0005,0,0.3
0.002,0.0005,0,0
-0.002,0.001,0,0
-0.0015,0.001,0,0
-0.001,0.001,0,0.3
-0.0005,0.001,0,0.3
0,0.001,0,0.3
0.0005,0.001,0,0.3
0.001,0.001,0,0.3
0.0015,0.001,0,0
0.002,0.001,0,0
-0.0015,0.0015,0,0
-0.001,0.0015,0,0
-0.0005,0.0015,0,0.3
0,0.0015,0,0.3
0.0005,0.0015,0,0.3
0.001,0.0015,0,0
0.0015,0.0015,0,0
-0.001,0.002,0,0
-0.0005,0.002,0,0
0,0.002,0,0
0.0005,0.002,0,0
0.001,0.002,0,0
-0.001,-0.002,0.0005,0
-0.0005,-0.002,0.0005,0
0,-0.002,0.0005,0
0.0005,-0.002,0.0005,0
0.001,-0.002,0.0005,0
-0.0015,-0.0015,0.0005,0
-0.001,-0.0015,0.0005,0
-0.0005,-0.0015,0.0005,0.222326
0,-0.0015,0.0005,0.22339
0.0005,-0.0015,0.0005,0.230358
0.001,-0.0015,0.0005,0
0.0015,-0.0015,0.0005,0
-0.002,-0.001,0.0005,0
-0.0015,-0.001,0.0005,0
-0.001,-0.001,0.0005,0.240695
-0.0005,-0.001,0.0005,0.253605
0,-0.001,0.0005,0.248317
0.0005,-0.001,0.0005,0.243349
0.001,-0.001,0.0005,0.252781
0.0015,-0.001,0.0005,0
0.002,-0.001,0.0005,0
-0.002,-0.0005,0.0005,0
-0.0015,-0.0005,0.0005,0.237667
-0.001,-0.0005,0.0005,0.245381
-0.0005,-0.0005,0.0005,0.260265
0,-0.0005,0.0005,0.258239
0.0005,-0.0005,0.0005,0.257308
0.001,-0.0005,0.0005,0.25492
0.0015,-0.0005,0.0005,0.265055
0.002,-0.0005,0.0005,0
-0.002,0,0.0005,0
-0.0015,0,0.0005,0.239821
-0.001,0,0.0005,0.24339
-0.0005,0,0.0005,0.256973
0,0,0.0005,0.259791
0.0005,0,0.0005,0.259101
0.001,0,0.0005,0.254761
0.0015,0,0.0005,0.254768
0.002,0,0.0005,0
-0.002,0.0005,0.0005,0
-0.0015,0.0005,0.0005,0.248228
-0.001,0.0005,0.0005,0.242369
-0.0005,0.0005,0.0005,0.25269
0,0.0005,0.0005,0.254583
0.0005,0.0005,0.0005,0.251594
0.001,0.0005,0.0005,0.243287
0.0015,0.0005,0.0005,0.240651
0.002,0.0005,0.0005,0
-0.002,0.001,0.0005,0
-0.0015,0.001,0.0005,0
-0.001,0.001,0.0005,0.244155
-0.0005,0.001,0.0005,0.244893
0,0.001,0.0005,0.246979
0.0005,0.001,0.0005,0.248237
0.001,0.001,0.0005,0.244765
0.0015,0.001,0.0005,0
0.002,0.001,0.0005,0
-0.0015,0.0015,0.0005,0
-0.001,0.0015,0.0005,0
-0.0005,0.0015,0.0005,0.25567
0,0.0015,0.0005,0.260299
0.0005,0.0015,0.0005,0.270239
0.001,0.0015,0.0005,0
0.0015,0.0015,0.0005,0
-0.001,0.002,0.0005,0
-0.0005,0.002,0.0005,0
0,0.002,0.0005,0
0.0005,0.002,0.0005,0
0.001,0.002,0.0005,0
-0.001,-0.002,0.001,0
-0.0005,-0.002,0.001,0
0,-0.002,0.001,0
0.0005,-0.002,0.001,0
0.001,-0.002,0.001,0
-0.0015,-0.0015,0.001,0
-0.001,-0.0015,0.001,0
-0.0005,-0.0015,0.001,0.320129
0,-0.0015,0.001,0.340738
0.0005,-0.0015,0.001,0.343985
0.001,-0.0015,0.001,0
0.0015,-0.0015,0.001,0
