x,y,z,type
0.0025,-0.001,0.0245,1
0.0025,-0.001,0.025,1
0.0025,-0.001,0.0255,1
0.0025,-0.0005,0.024,1
0.0025,-0.0005,0.0245,0
0.0025,-0.0005,0.025,0
0.0025,-0.0005,0.0255,0
0.0025,-0.0005,0.026,1
0.0025,0.0,0.024,1
0.0025,0.0,0.0245,0
0.0025,0.0,0.025,0
0.0025,0.0,0.0255,0
0.0025,0.0,0.026,1
0.0025,0.0005,0.024,1
0.0025,0.0005,0.0245,0
0.0025,0.0005,0.025,0
0.0025,0.0005,0.0255,0
0.0025,0.0005,0.026,1
0.0025,0.001,0.0245,1
0.0025,0.001,0.025,1
0.0025,0.001,0.0255,1
0.003,-0.001,0.0245,1
0.003,-0.001,0.025,1
0.003,-0.001,0.0255,1
0.003,-0.0005,0.024,1
0.003,-0.0005,0.0245,0
0.003,-0.0005,0.025,0
0.003,-0.0005,0.0255,0
0.003,-0.0005,0.026,1
0.003,0.0,0.024,1
0.003,0.0,0.0245,0
0.003,0.0,0.025,0
0.003,0.0,0.0255,0
0.003,0.0,0.026,1
0.003,0.0005,0.024,1
0.003,0.0005,0.0245,0
0.003,0.0005,0.025,0
0.003,0.0005,0.0255,0
0.003,0.0005,0.026,1
0.003,0.001,0.0245,1
0.003,0.001,0.025,1
0.003,0.001,0.0255,1
0.0035,-0.001,0.0245,1
0.0035,-0.001,0.025,1
0.0035,-0.001,0.0255,1
0.0035,-0.0005,0.024,1
0.0035,-0.0005,0.0245,0
0.0035,-0.0005,0.025,0
0.0035,-0.0005,0.0255,0
0.0035,-0.0005,0.026,1
0.0035,0.0,0.024,1
0.0035,0.0,0.0245,0
0.0035,0.0,0.025,0
0.0035,0.0,0.0255,0
0.0035,0.0,0.026,1
0.0035,0.0005,0.024,1
0.0035,0.0005,0.0245,0
0.0035,0.0005,0.025,0
0.0035,0.0005,0.0255,0
0.0035,0.0005,0.026,1
0.0035,0.001,0.0245,1
0.0035,0.001,0.025,1
0.0035,0.001,0.0255,1
0.004,-0.001,0.0245,1
0.004,-0.001,0.025,1
0.004,-0.001,0.0255,1
0.004,-0.0005,0.024,1
0.004,-0.0005,0.0245,0
0.004,-0.0005,0.025,0
0.004,-0.0005,0.0255,0
0.004,-0.0005,0.026,1
0.004,0.0,0.024,1
0.004,0.0,0.0245,0
0.004,0.0,0.025,0
0.004,0.0,0.0255,0
0.004,0.0,0.026,1
0.004,0.0005,0.024,1
0.004,0.0005,0.0245,0
0.004,0.0005,0.025,0
0.004,0.0005,0.0255,0
0.004,0.0005,0.026,1
0.004,0.001,0.0245,1
0.004,0.001,0.025,1
0.004,0.001,0.0255,1
0.0045,-0.001,0.0245,1
0.0045,-0.001,0.025,1
0.0045,-0.001,0.0255,1
0.0045,-0.0005,0.024,1
0.0045,-0.0005,0.0245,0
0.0045,-0.0005,0.025,0
0.0045,-0.0005,0.0255,0
