X,Y,Z,non_zero_elements
-0.001,-0.002,0,36
-0.0005,-0.002,0,42
0,-0.002,0,44
0.0005,-0.002,0,42
0.001,-0.002,0,36
-0.0015,-0.0015,0,40
-0.001,-0.0015,0,51
-0.0005,-0.0015,0,57
0,-0.0015,0,61
0.0005,-0.0015,0,57
0.001,-0.0015,0,51
0.0015,-0.0015,0,40
-0.002,-0.001,0,36
-0.0015,-0.001,0,51
-0.001,-0.001,0,65
-0.0005,-0.001,0,72
0,-0.001,0,74
0.0005,-0.001,0,72
0.001,-0.001,0,65
0.0015,-0.001,0,51
0.002,-0.001,0,36
-0.002,-0.0005,0,42
-0.0015,-0.0005,0,57
-0.001,-0.0005,0,72
-0.0005,-0.0005,0,75
0,-0.0005,0,75
0.0005,-0.0005,0,75
0.001,-0.0005,0,72
0.0015,-0.0005,0,57
0.002,-0.0005,0,42
-0.002,0,0,44
-0.0015,0,0,61
-0.001,0,0,74
-0.0005,0,0,75
0,0,0,75
0.0005,0,0,75
0.001,0,0,74
0.0015,0,0,61
0.002,0,0,44
-0.002,0.0005,0,42
-0.0015,0.0005,0,57
-0.001,0.0005,0,72
-0.0005,0.0005,0,75
0,0.0005,0,75
0.0005,0.0005,0,75
0.001,0.0005,0,72
0.0015,0.0005,0,57
0.002,0.0005,0,42
-0.002,0.001,0,36
-0.0015,0.001,0,51
-0.001,0.001,0,65
-0.0005,0.001,0,72
0,0.001,0,74
0.0005,0.001,0,72
0.001,0.001,0,65
0.0015,0.001,0,51
0.002,0.001,0,36
-0.0015,0.0015,0,40
-0.001,0.0015,0,51
-0.0005,0.0015,0,57
0,0.0015,0,61
0.0005,0.0015,0,57
0.001,0.0015,0,51
0.0015,0.0015,0,40
-0.001,0.002,0,36
-0.0005,0.002,0,42
0,0.002,0,44
0.0005,0.002,0,42
0.001,0.002,0,36
-0.001,-0.002,0.0005,48
-0.0005,-0.002,0.0005,56
0,-0.002,0.0005,59
0.0005,-0.002,0.0005,56
0.001,-0.002,0.0005,48
-0.0015,-0.0015,0.0005,53
-0.001,-0.0015,0.0005,68
-0.0005,-0.0015,0.0005,76
0,-0.0015,0.0005,81
0.0005,-0.0015,0.0005,76
0.001,-0.0015,0.0005,68
0.0015,-0.0015,0.0005,53
-0.002,-0.001,0.0005,48
-0.0015,-0.001,0.0005,68
-0.001,-0.001,0.0005,87
-0.0005,-0.001,0.0005,96
0,-0.001,0.0005,99
0.0005,-0.001,0.0005,96
0.001,-0.001,0.0005,87
0.0015,-0.001,0.0005,68
0.002,-0.001,0.0005,48
-0.002,-0.0005,0.0005,56
-0.0015,-0.0005,0.0005,76
-0.001,-0.0005,0.0005,96
-0.0005,-0.0005,0.0005,100
0,-0.0005,0.0005,100
0.0005,-0.0005,0.0005,100
0.001,-0.0005,0.0005,96
0.0015,-0.0005,0.0005,76
0.002,-0.0005,0.0005,56
-0.002,0,0.0005,59
-0.0015,0,0.0005,81
-0.001,0,0.0005,99
-0.0005,0,0.0005,100
0,0,0.0005,100
0.0005,0,0.0005,100
0.001,0,0.0005,99
0.0015,0,0.0005,81
0.002,0,0.0005,59
-0.002,0.0005,0.0005,56
-0.0015,0.0005,0.0005,76
-0.001,0.0005,0.0005,96
-0.0005,0.0005,0.0005,100
0,0.0005,0.0005,100
0.0005,0.0005,0.0005,100
0.001,0.0005,0.0005,96
0.0015,0.0005,0.0005,76
0.002,0.0005,0.0005,56
-0.002,0.001,0.0005,48
-0.0015,0.001,0.0005,68
-0.001,0.001,0.0005,87
-0.0005,0.001,0.0005,96
0,0.001,0.0005,99
0.0005,0.001,0.0005,96
0.001,0.001,0.0005,87
0.0015,0.001,0.0005,68
0.002,0.001,0.0005,48
-0.0015,0.0015,0.0005,53
-0.001,0.0015,0.0005,68
-0.0005,0.0015,0.0005,76
0,0.0015,0.0005,81
0.0005,0.0015,0.0005,76
0.001,0.0015,0.0005,68
0.0015,0.0015,0.0005,53
-0.001,0.002,0.0005,48
-0.0005,0.002,0.0005,56
0,0.002,0.0005,59
0.0005,0.002,0.0005,56
0.001,0.002,0.0005,48
-0.001,-0.002,0.001,58
-0.0005,-0.002,0.001,68
0,-0.002,0.001,72
0.0005,-0.002,0.001,68
0.001,-0.002,0.001,58
-0.0015,-0.0015,0.001,65
-0.001,-0.0015,0.001,83
-0.0005,-0.0015,0.001,93
0,-0.0015,0.001,99
0.0005,-0.0015,0.001,93
0.001,-0.0015,0.001,83
0.0015,-0.0015,0.001,65
-0.002,-0.001,0.001,58
-0.0015,-0.001,0.001,83
-0.001,-0.001,0.001,100
-0.0005,-0.001,0.001,100
0,-0.001,0.001,100
0.0005,-0.001,0.001,100
0.001,-0.001,0.001,100
0.0015,-0.001,0.001,83
0.002,-0.001,0.001,58
-0.002,-0.0005,0.001,68
-0.0015,-0.0005,0.001,93
-0.001,-0.0005,0.001,100
-0.0005,-0.0005,0.001,100
0,-0.0005,0.001,100
0.0005,-0.0005,0.001,100
0.001,-0.0005,0.001,100
0.0015,-0.0005,0.001,93
0.002,-0.0005,0.001,68
-0.002,0,0.001,72
-0.0015,0,0.001,99
