x,y,z,type
-0.001,-0.002,0.0,1
-0.0005,-0.002,0.0,1
0.0,-0.002,0.0,1
0.0005,-0.002,0.0,1
0.001,-0.002,0.0,1
-0.0015,-0.0015,0.0,1
-0.001,-0.0015,0.0,1
-0.0005,-0.0015,0.0,2
0.0,-0.0015,0.0,2
0.0005,-0.0015,0.0,2
0.001,-0.0015,0.0,1
0.0015,-0.0015,0.0,1
-0.002,-0.001,0.0,1
-0.0015,-0.001,0.0,1
-0.001,-0.001,0.0,2
-0.0005,-0.001,0.0,2
0.0,-0.001,0.0,2
0.0005,-0.001,0.0,2
0.001,-0.001,0.0,2
0.0015,-0.001,0.0,1
0.002,-0.001,0.0,1
-0.002,-0.0005,0.0,1
-0.0015,-0.0005,0.0,2
-0.001,-0.0005,0.0,2
-0.0005,-0.0005,0.0,2
0.0,-0.0005,0.0,2
0.0005,-0.0005,0.0,2
0.001,-0.0005,0.0,2
0.0015,-0.0005,0.0,2
0.002,-0.0005,0.0,1
-0.002,0.0,0.0,1
-0.0015,0.0,0.0,2
-0.001,0.0,0.0,2
-0.0005,0.0,0.0,2
0.0,0.0,0.0,2
0.0005,0.0,0.0,2
0.001,0.0,0.0,2
0.0015,0.0,0.0,2
0.002,0.0,0.0,1
-0.002,0.0005,0.0,1
-0.0015,0.0005,0.0,2
-0.001,0.0005,0.0,2
-0.0005,0.0005,0.0,2
0.0,0.0005,0.0,2
0.0005,0.0005,0.0,2
0.001,0.0005,0.0,2
0.0015,0.0005,0.0,2
0.002,0.0005,0.0,1
-0.002,0.001,0.0,1
-0.0015,0.001,0.0,1
-0.001,0.001,0.0,2
-0.0005,0.001,0.0,2
0.0,0.001,0.0,2
0.0005,0.001,0.0,2
0.001,0.001,0.0,2
0.0015,0.001,0.0,1
0.002,0.001,0.0,1
-0.0015,0.0015,0.0,1
-0.001,0.0015,0.0,1
-0.0005,0.0015,0.0,2
0.0,0.0015,0.0,2
0.0005,0.0015,0.0,2
0.001,0.0015,0.0,1
0.0015,0.0015,0.0,1
-0.001,0.002,0.0,1
-0.0005,0.002,0.0,1
0.0,0.002,0.0,1
0.0005,0.002,0.0,1
0.001,0.002,0.0,1
-0.001,-0.002,0.0005,1
-0.0005,-0.002,0.0005,1
0.0,-0.002,0.0005,1
0.0005,-0.002,0.0005,1
0.001,-0.002,0.0005,1
-0.0015,-0.0015,0.0005,1
-0.001,-0.0015,0.0005,1
-0.0005,-0.0015,0.0005,0
0.0,-0.0015,0.0005,0
0.0005,-0.0015,0.0005,0
0.001,-0.0015,0.0005,1
0.0015,-0.0015,0.0005,1
-0.002,-0.001,0.0005,1
-0.0015,-0.001,0.0005,1
-0.001,-0.001,0.0005,0
-0.0005,-0.001,0.0005,0
0.0,-0.001,0.0005,0
0.0005,-0.001,0.0005,0
0.001,-0.001,0.0005,0
0.0015,-0.001,0.0005,1
0.002,-0.001,0.0005,1
-0.002,-0.0005,0.0005,1
-0.0015,-0.0005,0.0005,0
-0.001,-0.0005,0.0005,0
-0.0005,-0.0005,0.0005,0
0.0,-0.0005,0.0005,0
0.0005,-0.0005,0.0005,0
0.001,-0.0005,0.0005,0
0.0015,-0.0005,0.0005,0
0.002,-0.0005,0.0005,1
-0.002,0.0,0.0005,1
-0.0015,0.0,0.0005,0
-0.001,0.0,0.0005,0
-0.0005,0.0,0.0005,0
0.0,0.0,0.0005,0
0.0005,0.0,0.0005,0
0.001,0.0,0.0005,0
0.0015,0.0,0.0005,0
0.002,0.0,0.0005,1
-0.002,0.0005,0.0005,1
-0.0015,0.0005,0.0005,0
-0.001,0.0005,0.0005,0
-0.0005,0.0005,0.0005,0
0.0,0.0005,0.0005,0
0.0005,0.0005,0.0005,0
0.001,0.0005,0.0005,0
0.0015,0.0005,0.0005,0
0.002,0.0005,0.0005,1
-0.002,0.001,0.0005,1
-0.0015,0.001,0.0005,1
-0.001,0.001,0.0005,0
-0.0005,0.001,0.0005,0
0.0,0.001,0.0005,0
0.0005,0.001,0.0005,0
0.001,0.001,0.0005,0
0.0015,0.001,0.0005,1
0.002,0.001,0.0005,1
-0.0015,0.0015,0.0005,1
-0.001,0.0015,0.0005,1
-0.0005,0.0015,0.0005,0
0.0,0.0015,0.0005,0
0.0005,0.0015,0.0005,0
0.001,0.0015,0.0005,1
0.0015,0.0015,0.0005,1
-0.001,0.002,0.0005,1
-0.0005,0.002,0.0005,1
0.0,0.002,0.0005,1
0.0005,0.002,0.0005,1
0.001,0.002,0.0005,1
-0.001,-0.002,0.001,1
-0.0005,-0.002,0.001,1
0.0,-0.002,0.001,1
0.0005,-0.002,0.001,1
0.001,-0.002,0.001,1
-0.0015,-0.0015,0.001,1
-0.001,-0.0015,0.001,1
-0.0005,-0.0015,0.001,0
0.0,-0.0015,0.001,0
0.0005,-0.0015,0.001,0
0.001,-0.0015,0.001,1
0.0015,-0.0015,0.001,1
-0.002,-0.001,0.001,1
-0.0015,-0.001,0.001,1
-0.001,-0.001,0.001,0
-0.0005,-0.001,0.001,0
0.0,-0.001,0.001,0
0.0005,-0.001,0.001,0
0.001,-0.001,0.001,0
0.0015,-0.001,0.001,1
0.002,-0.001,0.001,1
-0.002,-0.0005,0.001,1
-0.0015,-0.0005,0.001,0
-0.001,-0.0005,0.001,0
-0.0005,-0.0005,0.001,0
0.0,-0.0005,0.001,0
0.0005,-0.0005,0.001,0
0.001,-0.0005,0.001,0
0.0015,-0.0005,0.001,0
0.002,-0.0005,0.001,1
-0.002,0.0,0.001,1
-0.0015,0.0,0.001,0
-0.001,0.0,0.001,0
-0.0005,0.0,0.001,0
0.0,0.0,0.001,0
0.0005,0.0,0.001,0
0.001,0.0,0.001,0
0.0015,0.0,0.001,0
0.002,0.0,0.001,1
-0.002,0.0005,0.001,1
-0.0015,0.0005,0.001,0
-0.001,0.0005,0.001,0
-0.0005,0.0005,0.001,0
0.0,0.0005,0.001,0
0.0005,0.0005,0.001,0
0.001,0.0005,0.001,0
0.0015,0.0005,0.001,0
0.002,0.0005,0.001,1
-0.002,0.001,0.001,1
-0.0015,0.001,0.001,1
-0.001,0.001,0.001,0
-0.0005,0.001,0.001,0
0.0,0.001,0.001,0
0.0005,0.001,0.001,0
0.001,0.001,0.001,0
0.0015,0.001,0.001,1
0.002,0.001,0.001,1
-0.0015,0.0015,0.001,1
-0.001,0.0015,0.001,1
-0.0005,0.0015,0.001,0
0.0,0.0015,0.001,0
0.0005,0.0015,0.001,0
0.001,0.0015,0.001,1
0.0015,0.0015,0.001,1
-0.001,0.002,0.001,1
-0.0005,0.002,0.001,1
0.0,0.002,0.001,1
0.0005,0.002,0.001,1
0.001,0.002,0.001,1
-0.001,-0.002,0.0015,1
-0.0005,-0.002,0.0015,1
0.0,-0.002,0.0015,1
0.0005,-0.002,0.0015,1
0.001,-0.002,0.0015,1
-0.0015,-0.0015,0.0015,1
-0.001,-0.0015,0.0015,1
